Datum,Count,Max,Min,P50,P90,P95,P99,P99.9,Threads,Time,Triples,
04-01-2021 15:53:27,92243.0,360.0,7.0,29.0,46.0,50.0,58.0,179.0,10.0,300.0,500000.0,
04-01-2021 16:00:01,91383.0,742.0,6.0,60.0,108.0,126.0,177.0,319.0,20.0,300.0,500000.0,
04-01-2021 16:06:19,89400.0,7962.0,5.0,12.0,31.0,34.0,39.0,145.59900000001653,5.0,300.0,500000.0,
04-01-2021 16:22:33,31218.0,236.0,4.0,9.0,12.0,14.0,17.0,27.343000000008033,1.0,300.0,500000.0,
04-01-2021 16:27:57,49977.0,282.0,5.0,10.0,20.0,24.0,27.0,49.02200000000448,2.0,300.0,500000.0,
04-01-2021 16:33:33,66187.0,1248.0,5.0,10.0,26.0,29.0,33.0,126.8560000002035,3.0,300.0,500000.0,
04-01-2021 16:39:54,78653.0,299.0,5.0,11.0,30.0,33.0,39.0,142.346000000005,4.0,300.0,500000.0,
04-01-2021 16:46:26,92202.0,245.0,5.0,12.0,32.0,34.0,39.0,139.59400000001187,5.0,300.0,500000.0,
04-01-2021 18:04:04,91644.0,1086.0,6.0,14.0,35.0,38.0,44.0,150.0,6.0,300.0,500000.0,
04-01-2021 18:54:21,92767.0,310.0,6.0,19.0,39.0,42.0,49.0,154.0,7.0,300.0,500000.0,
04-01-2021 19:55:42,91620.0,330.0,6.0,22.0,43.0,45.0,51.0,155.0,8.0,300.0,500000.0,
05-01-2021 09:43:17,145053.0,672.0,6.0,37.0,67.0,81.0,116.0,238.89200000005076,20.0,300.0,500000.0,
05-01-2021 09:49:03,145200.0,323.0,6.0,20.0,24.0,30.0,53.0,158.0,10.0,300.0,500000.0,
05-01-2021 09:54:37,142427.0,790.0,5.0,10.0,12.0,13.0,35.0,53.0,5.0,300.0,500000.0,
05-01-2021 10:00:10,88290.0,7575.0,5.0,10.0,11.0,12.0,30.0,43.0,3.0,300.0,500000.0,
05-01-2021 11:22:19,61381.0,338.0,4.0,9.0,11.0,11.0,16.0,144.0,2.0,300.0,500000.0,
05-01-2021 11:31:05,33909.0,282.0,4.0,9.0,10.0,10.0,11.0,119.5400000000227,1.0,300.0,500000.0,
05-01-2021 12:05:01,116166.0,15632.0,4.0,10.0,11.0,12.0,29.0,103.83300000001327,4.0,300.0,500000.0,
05-01-2021 20:18:55,142374.0,316.0,6.0,20.0,25.0,29.0,53.0,158.0,10.0,300.0,250000.0,
05-01-2021 22:17:32,152705.0,628.0,6.0,35.0,60.0,72.0,105.0,220.88200000007055,20.0,300.0,250000.0,
09-01-2021 15:10:49,140078.0,510.0,5.0,10.0,12.0,13.0,17.0,110.9210000000021,5.0,300.0,250000.0,
09-01-2021 17:42:37,34840.0,226.0,5.0,8.0,9.0,10.0,11.0,92.0,1.0,300.0,250000.0,
09-01-2021 17:51:29,66030.0,238.0,5.0,9.0,10.0,10.0,12.0,98.96900000001187,2.0,300.0,250000.0,
09-01-2021 17:56:55,96761.0,285.0,4.0,9.0,11.0,11.0,12.0,109.0,3.0,300.0,250000.0,
09-01-2021 18:03:08,120353.0,285.0,5.0,9.0,11.0,14.0,20.0,112.0,4.0,300.0,250000.0,
09-01-2021 18:08:54,118639.0,293.0,5.0,12.0,27.0,29.0,37.0,158.0,6.0,300.0,250000.0,
09-01-2021 18:29:56,153109.0,501.0,6.0,13.0,17.0,19.0,22.0,127.89000000001397,7.0,300.0,250000.0,
09-01-2021 18:47:25,150379.0,304.0,6.0,15.0,20.0,22.0,31.0,134.62000000002445,8.0,300.0,250000.0,
09-01-2021 19:14:25,148354.0,1733.0,6.0,60.0,158.0,200.0,311.45000000001164,512.2900000000373,40.0,300.0,250000.0,
15-01-2021 12:14:13,97555.0,320.0,-6970.0,15.0,18.0,19.0,27.0,85.33200000005309,5.0,300.0,1000000.0,
19-01-2021 09:38:18,23971.0,199.0,8.0,12.0,14.0,14.0,17.0,25.504000000037195,1.0,300.0,1000000.0,
19-01-2021 09:44:06,44984.0,368.0,7.0,13.0,15.0,15.0,20.0,63.27000000012049,2.0,300.0,1000000.0,
19-01-2021 09:49:37,65408.0,689.0,8.0,13.0,15.0,16.0,22.0,81.0,3.0,300.0,1000000.0,
19-01-2021 09:55:28,84249.0,288.0,8.0,14.0,16.0,17.0,25.0,57.75000000001455,4.0,300.0,1000000.0,
19-01-2021 10:01:04,87467.0,284.0,9.0,15.0,23.0,28.0,34.0,143.0,5.0,300.0,1000000.0,
19-01-2021 10:06:33,84434.0,373.0,9.0,19.0,33.0,35.0,44.0,153.0,6.0,300.0,1000000.0,
19-01-2021 10:12:05,82633.0,315.0,10.0,24.0,35.0,38.0,50.0,160.36600000000908,7.0,300.0,1000000.0,
19-01-2021 10:18:01,85900.0,342.0,10.0,27.0,37.0,46.0,51.0,166.0,8.0,300.0,1000000.0,
19-01-2021 10:24:07,85306.0,7614.0,10.0,29.0,40.0,49.0,53.0,195.07900000004156,9.0,300.0,1000000.0,
19-01-2021 10:29:26,82348.0,340.0,10.0,35.0,48.0,50.0,60.0,183.0,10.0,300.0,1000000.0,
19-01-2021 10:35:36,85824.0,950.0,10.0,63.0,104.0,128.0,182.0,355.3500000000058,20.0,300.0,1000000.0,
